,Customer ID,Customer Name,Segment
0,AB-10015,Aaron Bergman,Consumer
1,AH-10030,Aaron Hawkins,Corporate
2,AS-10045,Aaron Smayling,Corporate
3,AB-10060,Adam Bellavance,Home Office
4,AH-10075,Adam Hart,Corporate
5,AS-10090,Adam Shillingsburg,Consumer
6,AB-10105,Adrian Barton,Consumer
7,AH-10120,Adrian Hane,Home Office
8,AS-10135,Adrian Shami,Home Office
9,AB-10150,Aimee Bixby,Consumer
10,AB-10165,Alan Barnes,Consumer
11,AD-10180,Alan Dominguez,Home Office
12,AH-10195,Alan Haines,Corporate
13,AH-10210,Alan Hwang,Consumer
14,AS-10225,Alan Schoenberger,Corporate
15,AS-10240,Alan Shonely,Consumer
16,AB-10255,Alejandro Ballentine,Home Office
17,AG-10270,Alejandro Grove,Consumer
18,AS-10285,Alejandro Savely,Corporate
19,AG-10300,Aleksandra Gannaway,Corporate
20,AA-10315,Alex Avila,Consumer
21,AG-10330,Alex Grayson,Consumer
22,AR-10345,Alex Russell,Corporate
23,AM-10360,Alice McCarthy,Corporate
24,AA-10375,Allen Armold,Consumer
25,AG-10390,Allen Goldenen,Consumer
26,AR-10405,Allen Rosenblatt,Corporate
27,AC-10420,Alyssa Crouse,Corporate
28,AT-10435,Alyssa Tate,Home Office
29,AC-10450,Amy Cox,Consumer
30,AH-10465,Amy Hunt,Consumer
31,AA-10480,Andrew Allen,Consumer
32,AG-10495,Andrew Gjertsen,Corporate
33,AR-10510,Andrew Roberts,Consumer
34,AG-10525,Andy Gerbode,Corporate
35,AR-10540,Andy Reiter,Consumer
36,AY-10555,Andy Yotov,Corporate
37,AR-10570,Anemone Ratner,Consumer
38,AH-10585,Angele Hood,Consumer
39,AB-10600,Ann Blume,Corporate
40,AC-10615,Ann Chong,Corporate
41,AS-10630,Ann Steele,Home Office
42,AA-10645,Anna Andreadi,Consumer
43,AC-10660,Anna Chung,Consumer
44,AG-10675,Anna Gayman,Consumer
45,AH-10690,Anna Häberlin,Corporate
46,AM-10705,Anne McFarland,Consumer
47,AP-10720,Anne Pryor,Home Office
48,AT-10735,Annie Thurman,Consumer
49,AZ-10750,Annie Zypern,Consumer
50,AG-10765,Anthony Garverick,Home Office
51,AJ-10780,Anthony Jacobs,Corporate
52,AJ-10795,Anthony Johnson,Corporate
53,AO-10810,Anthony O'Donnell,Corporate
54,AR-10825,Anthony Rawles,Corporate
55,AW-10840,Anthony Witt,Consumer
56,AI-10855,Arianne Irving,Consumer
57,AF-10870,Art Ferguson,Consumer
58,AF-10885,Art Foster,Consumer
59,AG-10900,Arthur Gainer,Consumer
60,AP-10915,Arthur Prichep,Consumer
61,AW-10930,Arthur Wiediger,Home Office
62,AJ-10945,Ashley Jarboe,Consumer
63,AJ-10960,Astrea Jones,Consumer
64,BF-10975,Barbara Fisher,Corporate
65,BB-10990,Barry Blumstein,Corporate
66,BF-11005,Barry Franz,Home Office
67,BF-11020,Barry Französisch,Corporate
68,BG-11035,Barry Gonzalez,Consumer
69,BP-11050,Barry Pond,Corporate
70,BW-11065,Barry Weirich,Consumer
71,BF-11080,Bart Folk,Consumer
72,BP-11095,Bart Pistole,Corporate
73,BW-11110,Bart Watters,Corporate
74,BC-11125,Becky Castell,Home Office
75,BM-11140,Becky Martin,Consumer
76,BP-11155,Becky Pak,Consumer
77,BF-11170,Ben Ferrer,Home Office
78,BP-11185,Ben Peterman,Corporate
79,BW-11200,Ben Wallace,Consumer
80,BF-11215,Benjamin Farhat,Home Office
81,BP-11230,Benjamin Patterson,Consumer
82,BV-11245,Benjamin Venier,Corporate
83,BK-11260,Berenike Kampe,Consumer
84,BF-11275,Beth Fritzler,Corporate
85,BP-11290,Beth Paige,Consumer
86,BT-11305,Beth Thompson,Home Office
87,BD-11320,Bill Donatelli,Consumer
88,BE-11335,Bill Eplett,Home Office
89,BO-11350,Bill Overfelt,Corporate
90,BS-11365,Bill Shonely,Corporate
91,BS-11380,Bill Stewart,Corporate
92,BT-11395,Bill Tyler,Corporate
93,BE-11410,Bobby Elias,Consumer
94,BO-11425,Bobby Odegard,Consumer
95,BT-11440,Bobby Trafton,Consumer
96,BE-11455,Brad Eason,Home Office
97,BN-11470,Brad Norvell,Corporate
98,BT-11485,Brad Thomas,Home Office
99,BD-11500,Bradley Drucker,Consumer
100,BN-11515,Bradley Nguyen,Consumer
101,BT-11530,Bradley Talbott,Home Office
102,BB-11545,Brenda Bowman,Corporate
103,BD-11560,Brendan Dodson,Home Office
104,BM-11575,Brendan Murry,Corporate
105,BS-11590,Brendan Sweed,Corporate
106,BD-11605,Brian Dahlen,Consumer
107,BD-11620,Brian DeCherney,Consumer
108,BD-11635,Brian Derr,Consumer
109,BM-11650,Brian Moss,Corporate
110,BS-11665,Brian Stugart,Consumer
111,BT-11680,Brian Thompson,Consumer
112,BG-11695,Brooke Gillingham,Corporate
113,BH-11710,Brosina Hoffman,Consumer
114,BD-11725,Bruce Degenhardt,Consumer
115,BG-11740,Bruce Geld,Consumer
116,BS-11755,Bruce Stewart,Consumer
117,BD-11770,Bryan Davis,Consumer
118,BM-11785,Bryan Mills,Consumer
119,BS-11800,Bryan Spruell,Home Office
120,CM-11815,Candace McMahon,Corporate
121,CS-11845,Cari Sayre,Corporate
122,CS-11860,Cari Schnelling,Consumer
123,CJ-11875,Carl Jackson,Corporate
124,CL-11890,Carl Ludwig,Consumer
125,CW-11905,Carl Weiss,Home Office
126,CD-11920,Carlos Daly,Consumer
127,CM-11935,Carlos Meador,Consumer
128,CS-11950,Carlos Soltero,Consumer
129,CA-11965,Carol Adams,Corporate
130,CD-11980,Carol Darley,Consumer
131,CT-11995,Carol Triggs,Consumer
132,CJ-12010,Caroline Jumper,Consumer
133,CB-12025,Cassandra Brandow,Consumer
134,CG-12040,Catherine Glotzbach,Home Office
135,CA-12055,Cathy Armstrong,Home Office
136,CH-12070,Cathy Hwang,Home Office
137,CP-12085,Cathy Prescott,Corporate
138,CC-12100,Chad Cunningham,Home Office
139,CM-12115,Chad McGuire,Consumer
140,CS-12130,Chad Sievert,Consumer
141,CC-12145,Charles Crestani,Consumer
142,CM-12160,Charles McCrossin,Consumer
143,CS-12175,Charles Sheldon,Corporate
144,CM-12190,Charlotte Melton,Consumer
145,CK-12205,Chloris Kastensmidt,Consumer
146,CC-12220,Chris Cortes,Consumer
147,CM-12235,Chris McAfee,Consumer
148,CS-12250,Chris Selesnick,Corporate
149,CA-12265,Christina Anderson,Consumer
150,CD-12280,Christina DeMoss,Consumer
151,CV-12295,Christina VanderZanden,Consumer
152,CA-12310,Christine Abelman,Corporate
153,CK-12325,Christine Kargatis,Home Office
154,CP-12340,Christine Phan,Corporate
155,CS-12355,Christine Sundaresam,Consumer
156,CC-12370,Christopher Conant,Consumer
157,CM-12385,Christopher Martinez,Consumer
158,CS-12400,Christopher Schild,Home Office
159,CB-12415,Christy Brittain,Consumer
160,CC-12430,Chuck Clark,Home Office
161,CM-12445,Chuck Magee,Consumer
162,CS-12460,Chuck Sachs,Consumer
163,CC-12475,Cindy Chapman,Consumer
164,CS-12490,Cindy Schnelling,Corporate
165,CS-12505,Cindy Stewart,Consumer
166,CG-12520,Claire Gute,Consumer
167,CB-12535,Claudia Bergmann,Corporate
168,CC-12550,Clay Cheatham,Consumer
169,CL-12565,Clay Ludtke,Consumer
170,CR-12580,Clay Rozendal,Home Office
171,CK-12595,Clytie Kelty,Consumer
172,CC-12610,Corey Catlett,Corporate
173,CR-12625,Corey Roper,Home Office
174,Co-12640,Corey-Lock,Consumer
175,CM-12655,Corinna Mitchell,Home Office
176,CC-12670,Craig Carreira,Consumer
177,CC-12685,Craig Carroll,Consumer
178,CL-12700,Craig Leslie,Home Office
179,CM-12715,Craig Molinari,Corporate
180,CR-12730,Craig Reiter,Consumer
181,CY-12745,Craig Yedwab,Corporate
182,CK-12760,Cyma Kinney,Corporate
183,CA-12775,Cynthia Arntzen,Consumer
184,CD-12790,Cynthia Delaney,Home Office
185,CV-12805,Cynthia Voltz,Corporate
186,CR-12820,Cyra Reiten,Home Office
187,DK-12835,Damala Kotsonis,Corporate
188,DC-12850,Dan Campbell,Consumer
189,DL-12865,Dan Lawera,Consumer
190,DR-12880,Dan Reichenbach,Corporate
191,DK-12895,Dana Kaydos,Consumer
192,DB-12910,Daniel Byrd,Home Office
193,DL-12925,Daniel Lacy,Consumer
194,DR-12940,Daniel Raglin,Home Office
195,DM-12955,Dario Medina,Corporate
196,DB-12970,Darren Budd,Corporate
197,DK-12985,Darren Koutras,Consumer
198,DP-13000,Darren Powers,Consumer
199,DM-13015,Darrin Martin,Consumer
200,DS-13030,Darrin Sayre,Home Office
201,DV-13045,Darrin Van Huff,Corporate
202,DB-13060,Dave Brooks,Consumer
203,DH-13075,Dave Hallsten,Corporate
204,DK-13090,Dave Kipp,Consumer
205,DP-13105,Dave Poirier,Corporate
206,DB-13120,David Bremer,Corporate
207,DF-13135,David Flashing,Consumer
208,DK-13150,David Kendrick,Corporate
209,DP-13165,David Philippe,Consumer
210,DS-13180,David Smith,Corporate
211,DW-13195,David Wiener,Corporate
212,DB-13210,Dean Braden,Consumer
213,DK-13225,Dean Katz,Corporate
214,Dp-13240,Dean percer,Home Office
215,DE-13255,Deanra Eno,Home Office
216,DB-13270,Deborah Brumfield,Home Office
217,DC-13285,Debra Catini,Consumer
218,DG-13300,Deirdre Greer,Corporate
219,DL-13315,Delfina Latchford,Consumer
220,DL-13330,Denise Leinenbach,Consumer
221,DM-13345,Denise Monton,Corporate
222,DB-13360,Dennis Bolton,Home Office
